Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Publisher
04/19/2020,464,35,7,68,61,66,76,74,51,61,0,211,251,2,142,21,174,53,24,50,0,0,0,3,7,8,5,12,0,11,24,0,13,4,13,4,1,0,City of Chicago
03/27/2020,406,8,4,43,62,86,102,49,37,22,1,211,193,2,69,10,208,70,12,37,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0,City of Chicago
05/03/2020,465,44,10,98,77,76,81,65,31,27,0,209,247,9,196,8,115,40,19,87,0,0,0,2,4,13,12,13,0,20,24,0,20,0,15,9,0,0,City of Chicago
04/04/2020,326,22,2,34,38,61,70,63,33,25,0,152,174,0,69,14,143,43,19,38,0,0,0,3,4,4,4,7,0,13,9,0,3,1,14,4,0,0,City of Chicago
06/01/2020,236,20,21,52,35,33,35,16,18,26,0,136,99,1,86,8,50,36,13,43,0,0,0,0,2,4,4,10,0,12,8,0,5,1,10,3,0,1,City of Chicago
03/12/2020,21,0,0,6,5,2,4,3,1,0,0,6,15,0,2,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
05/15/2020,988,50,81,190,203,172,137,103,66,36,0,546,431,11,447,11,169,84,35,242,0,0,2,1,7,14,12,14,0,16,34,0,19,0,12,17,2,0,City of Chicago
03/26/2020,416,2,2,66,74,79,96,53,36,10,0,184,230,2,77,12,200,90,13,24,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,City of Chicago
05/13/2020,876,44,56,187,165,164,135,97,40,32,0,449,420,7,416,14,125,69,29,223,0,0,2,3,4,13,9,13,0,16,28,0,18,5,13,6,1,1,City of Chicago
06/13/2020,121,18,13,26,18,14,22,14,7,7,0,65,56,0,46,0,23,16,8,28,0,0,0,0,3,5,5,5,0,11,7,0,3,1,6,8,0,0,City of Chicago
