Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Publisher
06/19/2020,219,15,28,68,38,29,23,17,10,6,0,110,103,6,86,2,47,27,8,49,0,0,0,1,3,3,2,6,0,7,8,0,3,1,5,6,0,0,City of Chicago
07/21/2020,254,1,24,68,49,54,24,18,9,8,0,127,126,1,68,2,72,41,20,51,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,City of Chicago
07/10/2020,341,6,35,119,74,49,24,17,18,5,0,168,169,4,98,4,94,52,13,80,0,0,0,0,2,1,2,1,0,1,5,0,3,0,1,1,1,0,City of Chicago
05/20/2020,775,29,58,209,132,138,108,74,36,18,2,403,361,11,357,4,139,59,25,191,0,1,1,1,6,10,4,6,0,7,22,0,15,3,7,4,0,0,City of Chicago
04/13/2020,693,33,10,99,115,127,162,88,53,39,0,352,337,4,238,25,209,95,31,95,0,0,1,5,3,8,7,9,0,15,18,0,11,2,17,3,0,0,City of Chicago
07/24/2020,205,3,15,67,40,32,20,15,7,9,0,115,85,5,21,11,46,30,9,88,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,City of Chicago
05/12/2020,943,46,64,178,177,182,162,92,50,38,0,492,446,5,442,10,168,98,21,204,0,0,4,2,4,10,7,19,0,12,34,0,21,2,19,4,0,0,City of Chicago
03/24/2020,352,2,1,59,69,58,56,61,34,14,0,160,191,1,63,13,158,84,9,25,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,City of Chicago
04/14/2020,661,34,16,102,121,120,123,77,51,51,0,351,309,1,229,24,191,95,37,85,0,1,2,1,3,5,9,13,0,11,23,0,9,2,12,10,0,1,City of Chicago
07/01/2020,259,13,16,94,51,30,27,25,5,11,0,149,109,1,91,1,61,53,4,49,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,City of Chicago
07/08/2020,304,4,36,99,71,38,30,17,11,2,0,160,143,1,87,8,68,51,13,77,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,City of Chicago
07/07/2020,335,4,35,107,66,51,44,18,8,5,1,182,152,1,96,11,91,64,11,62,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,City of Chicago
07/05/2020,84,4,6,28,18,11,11,8,2,0,0,50,33,1,22,0,19,17,7,19,0,0,0,1,2,1,0,0,0,1,3,0,1,0,1,2,0,0,City of Chicago
05/23/2020,324,28,31,64,57,54,54,35,18,11,0,172,149,3,124,6,70,33,10,81,0,0,1,1,2,4,8,12,0,14,14,0,9,0,9,10,0,0,City of Chicago
06/22/2020,217,9,23,58,35,36,27,20,15,3,0,111,105,1,102,3,43,25,4,40,0,1,0,0,2,3,1,2,0,5,4,0,7,0,1,1,0,0,City of Chicago
06/09/2020,257,21,19,50,34,45,46,38,14,11,0,117,136,4,110,4,39,34,13,57,0,0,0,1,6,4,4,6,0,6,15,0,11,0,8,2,0,0,City of Chicago
07/22/2020,341,3,35,115,77,57,21,21,14,1,0,177,159,5,115,6,71,70,12,67,0,0,0,0,1,0,0,2,0,1,2,0,0,0,1,2,0,0,City of Chicago
07/09/2020,286,8,26,95,58,39,34,22,7,5,0,135,150,1,83,4,87,56,9,47,0,0,0,0,1,2,5,0,0,4,4,0,3,0,3,2,0,0,City of Chicago
05/11/2020,1010,39,61,204,198,192,142,115,68,30,0,511,486,13,517,14,155,83,28,213,0,0,1,3,6,4,6,19,0,15,24,0,17,0,15,7,0,0,City of Chicago
05/06/2020,975,43,55,190,163,213,168,96,52,38,0,473,469,33,462,12,146,89,40,226,0,0,1,3,5,11,9,14,0,14,29,0,12,5,14,12,0,0,City of Chicago
07/18/2020,117,4,13,33,21,18,16,7,6,3,0,53,63,1,29,1,35,11,5,36,0,0,0,0,1,1,1,1,0,2,2,0,2,0,0,2,0,0,City of Chicago
07/03/2020,169,5,13,49,36,26,16,16,9,4,0,104,64,1,42,1,39,27,13,47,0,0,0,0,0,2,1,2,0,3,2,0,1,0,4,0,0,0,City of Chicago
06/20/2020,122,11,18,31,17,21,18,5,9,3,0,64,58,0,70,1,14,18,4,15,0,0,1,0,2,3,1,4,0,4,7,0,8,0,2,1,0,0,City of Chicago
