Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
05/30/2020,231,19,23,51,38,39,40,23,11,6,0,125,104,2,87,3,45,17,8,71,0,0,0,1,1,7,5,5,0,9,10,0,10,0,4,4,1,0
06/06/2020,164,20,18,33,21,35,26,19,8,4,0,84,79,1,74,1,24,17,7,41,0,0,1,1,0,7,7,4,0,7,13,0,8,1,9,2,0,0
04/23/2020,1441,34,32,192,201,220,232,238,158,167,1,710,630,101,454,21,306,168,76,416,0,1,1,4,2,9,7,10,0,8,26,0,12,2,14,6,0,0
05/09/2020,522,50,34,104,101,99,89,54,28,13,0,262,256,4,243,9,88,36,17,129,0,0,0,3,6,6,11,24,0,22,28,0,24,3,14,8,1,0
05/05/2020,1078,57,52,204,203,218,202,121,50,28,0,543,491,44,476,16,146,87,50,303,0,1,1,1,0,11,16,27,0,26,31,0,16,5,20,15,0,1
03/19/2020,186,2,5,35,48,36,25,18,17,2,0,86,98,2,19,10,80,64,7,6,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
03/31/2020,486,16,5,57,104,96,92,68,37,27,0,255,223,8,105,15,216,80,16,54,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0
05/02/2020,704,50,24,141,119,152,137,76,39,16,0,340,360,4,341,9,103,52,22,177,0,0,0,1,9,14,11,15,0,20,30,0,11,3,24,11,1,0
04/07/2020,544,25,2,80,107,91,81,79,54,50,0,285,252,7,163,16,188,88,26,63,0,0,0,1,5,4,10,5,0,11,14,0,6,0,16,1,2,0
05/19/2020,884,27,77,213,174,145,126,80,40,27,2,444,434,6,402,12,136,69,40,225,0,1,1,3,6,5,6,5,0,8,19,0,10,2,11,3,0,1
04/11/2020,391,33,7,52,70,65,81,53,37,26,0,182,208,1,97,18,141,53,15,67,0,0,1,2,6,7,10,7,0,16,17,0,8,1,22,2,0,0
05/04/2020,1126,49,59,216,223,241,177,114,54,42,0,559,547,20,511,24,175,97,42,277,0,1,0,0,4,10,16,18,0,23,26,0,17,2,20,9,1,0
04/09/2020,575,25,10,80,103,102,130,73,42,35,0,254,312,9,172,23,205,83,29,63,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0
05/16/2020,505,29,35,105,86,92,75,58,33,21,0,275,223,7,198,11,91,48,16,141,0,0,1,3,0,6,5,14,0,9,20,0,9,1,13,6,0,0
05/27/2020,588,25,66,120,96,109,83,61,32,21,0,303,273,12,278,9,95,46,19,141,0,0,2,1,1,6,7,8,0,9,16,0,10,1,9,5,0,0
06/05/2020,311,18,35,64,61,44,47,30,19,10,1,161,147,3,146,4,43,24,11,83,0,0,0,0,3,1,9,5,0,10,8,0,5,0,7,6,0,0
03/29/2020,281,21,4,30,47,54,50,48,30,18,0,127,154,0,54,11,142,37,10,27,0,1,0,1,4,4,6,5,0,4,17,0,2,2,15,2,0,0
06/11/2020,180,9,16,56,25,25,30,16,9,3,0,92,83,5,69,4,22,17,3,65,0,0,0,1,1,1,2,4,0,4,5,0,3,1,3,2,0,0
05/15/2020,986,50,81,188,203,172,141,100,65,36,0,545,430,11,442,11,162,80,35,256,0,0,2,1,7,14,12,14,0,16,34,0,19,0,12,17,2,0
05/29/2020,460,19,32,120,69,83,74,41,18,23,0,248,207,5,188,11,77,29,20,135,0,0,0,1,3,4,7,4,0,12,7,0,6,0,10,2,1,0
05/21/2020,797,34,71,179,134,121,123,76,51,42,0,414,366,17,358,22,127,48,28,214,0,0,1,0,3,13,11,6,0,14,20,0,15,1,6,11,1,0
04/24/2020,1058,51,28,178,170,182,183,157,72,88,0,477,521,60,402,28,194,137,62,235,0,1,2,0,6,12,13,17,0,18,33,0,12,2,21,14,2,0
05/11/2020,1010,40,61,204,198,192,142,115,68,30,0,506,485,19,513,13,145,79,29,231,0,0,1,3,6,5,6,19,0,15,25,0,16,0,17,7,0,0
06/14/2020,90,11,6,22,18,15,16,6,2,5,0,43,47,0,26,1,20,3,5,35,0,0,0,1,1,2,2,5,0,5,6,0,5,0,2,4,0,0
05/14/2020,767,43,48,167,150,130,107,93,43,29,0,392,360,15,316,12,150,69,36,184,1,0,4,1,4,5,7,21,0,20,23,0,13,4,20,5,1,0
05/17/2020,328,41,17,56,57,37,64,45,22,30,0,158,168,2,135,6,67,31,14,75,0,0,1,1,3,14,9,13,0,16,25,0,18,2,13,7,1,0
04/21/2020,858,34,19,147,158,156,148,107,56,67,0,432,417,9,345,12,198,108,37,158,0,1,0,2,0,7,10,14,0,13,21,0,11,2,17,4,0,0
05/08/2020,924,43,52,168,192,194,153,87,44,34,0,439,464,21,430,14,120,73,43,244,0,0,0,1,4,13,11,14,0,20,23,0,15,0,16,12,0,0
